날짜,회사,그룹,제목,요약,매체,링크,회차
2026-07-23 20:28,네이버페이,핀테크,네이버페이 연금 서비스 개시… 우리銀과 제휴 전문가 상담도,,세계일보,https://n.news.naver.com/mnews/article/022/0004145427?sid=101,52
2026-07-23 17:32,현대차증권,비지주,"‘AI로 연금 굴린다’…현대차증권, IRP RA로 맞춤형 자동 연금 투자","현대차증권, AI 기반 맞춤형 자동 연금 투자 서비스 / 퇴직연금 자산을 투자자 성향에 따라 맞춤형 포트폴리오로 구성하고 자동 관리하는 서비스 / 로보어드바이저 이용 고객은 투자 목적에 따라 ‘주식비중고정’ 또는 ‘목표변동성’ 중 하나를 선택하는 투자 전략 / 현대차증권은 한국투자신탁운용 외에 여러 투자일임업자와 추가 제휴를 검토 중인 서비스 확대 계획",한경비즈니스,https://n.news.naver.com/mnews/article/050/0000108890?sid=101,52
2026-07-23 17:31,카카오페이,핀테크,"""K주식 24시간 거래""…카카오페이證, 토큰화 승부수",,한국경제TV,https://n.news.naver.com/mnews/article/215/0001259774?sid=101,52
2026-07-23 17:10,카카오페이,핀테크,"카카오페이·카카오뱅크까지 참여…카카오그룹, 스테이블코인 인프라 선...","카카오그룹, 원화 기반 디지털 자산 생태계 구축 / 카카오톡 플랫폼과 카카오페이·카카오뱅크의 금융 서비스 역량에 서클의 블록체인 결제 인프라를 결합하는 협력 / 원화 스테이블코인과 글로벌 결제·정산, 디지털 자산 연결 등 다양한 분야의 사업 가능성을 검토하는 과정 / 국내 규제 환경 변화에 맞춰 토큰화 금융 서비스 등 블록체인 기반 금융 인프라 구축 방안을 모색하는 중",,http://www.popcornnews.net/news/articleView.html?idxno=127466,52
2026-07-23 17:02,토스,핀테크,써클과 손잡은 카카오·토스… 디지털 자산 주도권 ‘경쟁’,,디지털타임스,https://n.news.naver.com/mnews/article/029/0003038598?sid=101,52
2026-07-23 17:00,NH농협은행,NH,"NH농협은행, '예금 토큰 기반 결제 인프라 확대사업' 참여","NH농협은행, 예금 토큰 기반 결제 인프라 확대사업 참여 / QR코드 기반 결제 서비스 구현과 기존 결제 인프라 활용을 통해 확산을 추진 중 / 디지털화폐 기반 공공금융서비스 확대에도 적극적으로 나서고 있는 중 / 디지털 금융 혁신과 차세대 금융 인프라 구축을 선도해 나가는 중",,http://www.metroseoul.co.kr/article/20260723500422,52
2026-07-23 14:41,네이버페이,핀테크,네이버페이서 '연금'도 관리한다...우리은행 전문가와 상담부터 가입까...,,한국경제,https://n.news.naver.com/mnews/article/015/0005313066?sid=101,51
2026-07-23 14:20,토스,핀테크,"SBI저축은행, 토스 데이터로 중저신용자 문턱 낮춘다…포용금융 실험 본...","SBI저축은행, 토스 데이터 활용 중저신용자 대출시장 공략 / 토스スコ어를 결합한 대출 승인 전략으로 중저신용자 포용금융 확대 / 대출 금리는 연 7.9~13.5%, 대출 한도는 최대 1억5000만원으로 설정 / 토스 대출비교서비스를 통해서만 가입할 수 있는 포용금융 상품 출시 예정",,https://sateconomy.co.kr/news/view/1065590013725745,51
2026-07-23 13:47,농협손보,NH,"농협손보, 양자컴퓨터 시대 대비 나선다…차세대 암호체계 도입","NH농협손보, 양자내성암호 기반 보안 기술 도입 / 양자컴퓨터의 연산 능력으로도 해독하기 어려운 차세대 암호 기술 적용 / 디지털 채널 전반과 주요 업무 시스템까지 양자내성암호 적용 범위 확대 예정 / 제로트러스트와 인공지능 기반 보안 기술 연계한 미래형 보안 환경 구축 중",파이낸셜뉴스,https://n.news.naver.com/mnews/article/014/0005551955?sid=101,51
2026-07-23 13:43,카카오페이,핀테크,"카카오페이證, AI·IB·K주식으로 영토 확장…“투자자 2000만 시대 열겠...","카카오페이증권, AI·IB·해외 사업 확장 / 1인 1 AI 투자 에이전트 출시 및 공모주·ETF LP 사업 추진 중 / 미국 개인투자자 대상 한국 주식 거래 서비스 준비 및 해외 사업 확장 중 / 투자 인구 2000만명 확대 및 K-주식 세계화 추진 예정",디지털타임스,https://n.news.naver.com/mnews/article/029/0003038528?sid=101,51
